material,cor_material,codigo_barra,grupo,subgrupo,categoria_produto,path_completo,qtde_estoque
03.01.0037,40,215744,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215744.jpg,1004.0
03.01.0037,60,218190,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218190.jpg,1140.0
03.01.003,12,218212,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218212.jpg,2.0
03.01.003,40,219230,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219230.jpg,7.0
03.01.003,60,219024,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219024.jpg,156.0
03.01.003,67,215760,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215760.jpg,1.0
03.02.0046,02C,295429,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000295429.jpg,18.0
03.02.0046,B-40C,306450,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000306450.jpg,42.0
03.02.004,60,210504,03 - ZIPER,ZIPER NYLON FINO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000210504.jpg,105.0
03.01.1008,B-00,288295,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288295.jpg,5.0
03.01.1009,B-00,288297,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288297.jpg,17.0
03.01.1010,B-00,288299,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288299.jpg,16.0
03.01.1011,B-00,288301,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288301.jpg,39.0
03.01.1012,B-00,288303,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288303.jpg,34.0
03.01.1013,B-00,288305,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288305.jpg,14.0
03.01.1014,B-00,288307,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288307.jpg,5.0
03.01.1015,B-60,288323,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288323.jpg,3.0
03.01.0973,B-24B,278067,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000278067.jpg,44.0
03.01.0974,B-24B,278071,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000278071.jpg,9.0
03.01.0994,B-26,285691,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285691.jpg,1.0
03.01.0994,B-60,280896,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000280896.jpg,19.0
03.01.0996,60,280894,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000280894.jpg,3.0
03.01.0997,R-60,282406,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000282406.jpg,38.0
03.02.001,46A,213171,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000213171.jpg,94.0
03.02.001,47A,211743,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000211743.jpg,98.0
03.02.001,B-021A,280626,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000280626.jpg,23.0
03.02.001,B-57B,298109,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000298109.jpg,112.0
03.02.002,B-60,213982,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000213982.jpg,25.0
03.02.0035,02,211530,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\00002115307.jpg,56.0
03.02.0035,60,215404,03 - ZIPER,INVISIVEL,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215404.jpg,77.0
03.01.0982,B-26,285689,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285689.jpg,5.0
03.01.0963,B-00,295790,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000295790.jpg,125.0
03.01.0968,B-12A,213583,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000213583.jpg,4.0
03.01.0968,B-60,289053,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000289053.jpg,14.0
03.01.0952,B-26,285685,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285685.jpg,4.0
03.01.0950,60,213788,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000213788.jpg,6.0
03.01.0909,R-12,212566,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000212566.jpg,386.0
03.01.0910,R-12,211954,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000211954.jpg,491.0
03.01.0911,R-12,214810,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000214810.jpg,35.0
03.01.0911,R-60,282380,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000282380.jpg,65.0
03.01.0912,R-12,214606,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000214606.jpg,2.0
03.01.0912,R-60,282381,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000282381.jpg,406.0
03.01.0835,60,216040,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216040.jpg,9.0
03.01.0858,B-60,216242,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216242.jpg,252.0
03.01.0860,B-60,215630,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215630.jpg,96.0
03.01.0848,B-60,216039,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216039.jpg,167.0
03.01.0843,B-60,218283,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218283.jpg,106.0
03.01.0812,60,218897,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218897.jpg,14.0
03.01.0812,B-49B,219305,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219305.jpg,41.0
03.01.0812,B-53,219101,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219101.jpg,67.0
03.01.0812,B-60,218285,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218285.jpg,20.0
03.01.0830,B-49B,217672,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217672.jpg,37.0
03.01.0830,B-53,217876,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217876.jpg,48.0
03.01.0830,B-60,217468,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217468.jpg,49.0
03.01.0831,B-49B,216856,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216856.jpg,1.0
03.01.0831,B-53,217060,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217060.jpg,1.0
03.01.0831,B-60,216448,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216448.jpg,43.0
03.01.0807,B-47A,302949,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000302949.jpg,22.0
03.01.0763,B-26,284540,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000284540.jpg,5.0
03.01.0765,60,217066,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217066.jpg,20.0
03.01.0746,00,217883,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217883.jpg,21.0
03.01.0748,00,229511,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000229511.jpg,6.0
03.01.0723,B-60,288326,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288326.jpg,9.0
03.01.0724,B-60,288327,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000288327.jpg,8.0
03.01.0663,00,219115,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000219115.jpg,5.0
03.01.0706,60,225026,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000225026.jpg,21.0
03.01.0706,B-47A,302948,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000302948.jpg,2.0
03.01.0706,B-60,285489,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285489.jpg,24.0
03.01.0707,60,216866,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216866.jpg,9.0
03.01.0707,B-12A,293332,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000293332.jpg,1.0
03.01.0707,B-18,299112,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000299112.jpg,19.0
03.01.0707,B-40C,282510,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000282510.jpg,159.0
03.01.0707,B-60,285490,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000285490.jpg,52.0
03.01.0708,B-11G,295766,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000295766.jpg,4.0
03.01.0653,60,216872,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216872.jpg,29.0
03.01.0654,60,216668,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216668.jpg,34.0
03.01.0631,60,224424,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000224424.jpg,6.0
03.01.0619,40,294441,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000294441.jpg,11.0
03.01.0619,60,217081,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217081.jpg,18.0
03.01.0592,60,216475,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000216475.jpg,3.0
03.01.0486,26,217098,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217098.jpg,11.0
03.01.0581,60,217700,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217700.jpg,39.0
