material,cor_material,codigo_barra,grupo,subgrupo,categoria_produto,path_completo,qtde_estoque
04.02.1280,S-12,0000295431,04 - ETIQUETAS,ETIQUETA ESTAMPADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000295431.jpg,63.0
04.02.1285,S-03,0000296174,04 - ETIQUETAS,ETIQUETA BORDADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000296174.jpg,232.0
04.02.1298,S-26,0000297448,04 - ETIQUETAS,ETIQUETA BORDADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000297448.jpg,505.0
04.02.1292,S-26,0000296483,04 - ETIQUETAS,ETIQUETA BORDADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000296483.jpg,62.0
04.02.1488,S-26,0000327508,04 - ETIQUETAS,ETIQUETA BORDADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000327508.jpg,646.0
04.01.0232,S-03,0000295830,04 - ETIQUETAS,ETIQUETA ESTAMPADA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000295830.jpg,120.0
04.05.1966,S-26,0000280752,04 - ETIQUETAS,ETIQUETA DE TAMANHO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000280752.jpg,513.0
04.05.1967,S-26,0000280753,04 - ETIQUETAS,ETIQUETA DE TAMANHO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000280753.jpg,40.0
04.06.9616,S-26,0000296332,04 - ETIQUETAS,ETIQUETA PATCH,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000296332.jpg,170.0
04.06.9617,S-26,0000296333,04 - ETIQUETAS,ETIQUETA PATCH,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000296333.jpg,540.0
04.06.9613,S-09,0000295467,04 - ETIQUETAS,ETIQUETA PATCH,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000295467.jpg,1203.0
04.06.9614,S-08,0000295698,04 - ETIQUETAS,ETIQUETA PATCH,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000295698.jpg,79.0
3333305,198,0000128540,05 - BOTOES,BOTOES METAL FLEXIVEL,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000128540.jpg,55.0
3333292,100,0000133437,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000133437.jpg,120.0
3333292,138,0000133233,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000133233.jpg,42.0
3333030.UN,277,0000128558,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000128558.jpg,156.0
3333030.UN,70,0000135289,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000135289.jpg,52.0
3333030.UN,82,0000135085,05 - BOTOES,BOTOES MASSA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000135085.jpg,0.0
3333081.UN,278,0000132836,05 - BOTOES,BOTOES METAL FIXO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000132836.jpg,98.0
3333249,281,0000127728,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000127728.jpg,274.0
3333225.UN,01,0000135074,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000135074.jpg,30.0
3333225.UN,10,0000129974,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000129974.jpg,39.0
3333271,281,0000135070,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000135070.jpg,183.0
3333280,481,0000135273,05 - BOTOES,BOTOES DE MADREPEROLA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000135273.jpg,56.0
2929592,198,0000136388,06 - AVIAMENTOS (OUTROS),PASSANTE,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000136388.jpg,145.0
2929570,666,0000133534,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000133534.jpg,50.0
2929529,433,0000132924,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000132924.jpg,20.0
2929415,60,0000136399,06 - AVIAMENTOS (OUTROS),PONTEIRAS,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000136399.jpg,60.0
2626260,455,0000133385,06 - AVIAMENTOS (OUTROS),FIVELA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000133385.jpg,2.0
2626268,198,0000132364,06 - AVIAMENTOS (OUTROS),FIVELA,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000132364.jpg,2.0
5252182.G,221,0000120633,04 - ETIQUETAS,ETIQUETA DE TAMANHO,SALINAS,\\192.168.50.80\img_est_mp\Fotos_MP\0000120633.jpg,65.0
